billing_id,job_id,line_type,description,amount,billed_at
BILL-000045,JOB-000025,parts,Refrigerant refill,207.53,2023-10-10 18:22:00
BILL-000046,JOB-000025,parts,Sensor kit,40.72,2023-10-11 04:22:00
BILL-000047,JOB-000025,parts,Wiring harness,25.98,2023-10-11 23:22:00
BILL-000048,JOB-000026,parts,Thermostat,111.08,2025-06-07 15:18:00
BILL-000049,JOB-000026,parts,Control board,88.93,2025-06-06 16:18:00
BILL-000050,JOB-000027,parts,Wiring harness,26.96,2025-06-06 16:06:00
BILL-000051,JOB-000027,parts,Filter pack,39.57,2025-06-07 19:06:00
BILL-000052,JOB-000030,parts,Thermostat,51.61,2024-09-03 12:46:00
BILL-000053,JOB-000030,parts,Sensor kit,78.97,2024-09-03 23:46:00
BILL-000054,JOB-000030,parts,Filter pack,48.94,2024-09-05 00:46:00
BILL-000055,JOB-000031,parts,Filter pack,39.45,2024-09-04 02:10:00
BILL-000056,JOB-000032,parts,Wiring harness,52.27,2024-09-04 02:08:00
BILL-000057,JOB-000033,parts,Valve assembly,69.64,2024-09-05 13:15:00
BILL-000058,JOB-000034,parts,Refrigerant refill,210.33,2024-09-04 06:07:00
BILL-000059,JOB-000034,parts,Compressor unit,258.96,2024-09-04 22:07:00
BILL-000060,JOB-000035,parts,Sensor kit,41.22,2025-02-05 12:09:00
BILL-000061,JOB-000035,parts,Thermostat,108.77,2025-02-04 20:09:00
BILL-000062,JOB-000036,parts,Filter pack,54.76,2025-02-04 12:43:00
BILL-000063,JOB-000036,parts,Refrigerant refill,67.9,2025-02-06 01:43:00
BILL-000064,JOB-000037,parts,Filter pack,16.74,2023-03-01 14:47:00
BILL-000065,JOB-000037,parts,Sensor kit,91.19,2023-02-28 16:47:00
BILL-000066,JOB-000038,parts,Wiring harness,55.23,2023-02-28 11:09:00
BILL-000067,JOB-000038,parts,Thermostat,55.45,2023-03-02 03:09:00
BILL-000068,JOB-000038,parts,Control board,89.65,2023-02-28 23:09:00
BILL-000069,JOB-000039,parts,Sensor kit,124.38,2024-07-24 08:08:00
BILL-000070,JOB-000039,parts,Refrigerant refill,71.13,2024-07-24 22:08:00
BILL-000071,JOB-000039,parts,Compressor unit,510.12,2024-07-23 11:08:00
BILL-000072,JOB-000040,parts,Control board,284.95,2024-07-24 17:34:00
BILL-000073,JOB-000040,parts,Wiring harness,53.37,2024-07-24 22:34:00
BILL-000074,JOB-000041,parts,Control board,94.22,2024-07-24 14:28:00
BILL-000075,JOB-000041,parts,Sensor kit,129.92,2024-07-25 01:28:00
BILL-000076,JOB-000042,parts,Wiring harness,78.92,2025-05-01 02:45:00
BILL-000077,JOB-000042,parts,Control board,100.81,2025-04-29 17:45:00
BILL-000078,JOB-000043,parts,Wiring harness,27.48,2025-05-01 04:56:00
BILL-000079,JOB-000044,parts,Thermostat,164.63,2025-04-29 18:15:00
BILL-000080,JOB-000045,parts,Refrigerant refill,68.6,2025-05-01 05:33:00
BILL-000081,JOB-000045,parts,Wiring harness,25.83,2025-05-01 00:33:00
BILL-000082,JOB-000046,parts,Thermostat,116.81,2024-03-16 02:29:00
BILL-000083,JOB-000046,parts,Wiring harness,29.92,2024-03-14 23:29:00
BILL-000084,JOB-000047,parts,Valve assembly,81.14,2024-03-15 13:20:00
BILL-000085,JOB-000047,parts,Refrigerant refill,70.2,2024-03-15 13:20:00
BILL-000086,JOB-000047,credit_return,Customer return/adjustment,-16.97,2024-03-20 10:20:00
BILL-000087,JOB-000048,parts,Filter pack,33.63,2024-03-16 00:57:00
BILL-000088,JOB-000048,parts,Wiring harness,27.81,2024-03-15 13:57:00
BILL-000089,JOB-000048,parts,Refrigerant refill,200.63,2024-03-14 15:57:00
BILL-000090,JOB-000049,parts,Wiring harness,29.92,2024-03-15 14:01:00
BILL-000091,JOB-000049,parts,Sensor kit,91.87,2024-03-15 23:01:00
BILL-000092,JOB-000049,parts,Sensor kit,80.43,2024-03-16 11:01:00
BILL-000093,JOB-000050,parts,Control board,289.39,2024-03-13 11:02:00
BILL-000094,JOB-000050,parts,Valve assembly,106.23,2024-03-13 06:02:00
BILL-000095,JOB-000050,parts,Refrigerant refill,59.71,2024-03-13 13:02:00
BILL-000096,JOB-000050,credit_return,Customer return/adjustment,-72.75,2024-03-15 09:02:00
BILL-000097,JOB-000051,parts,Control board,278.3,2024-03-14 10:06:00
BILL-000098,JOB-000052,parts,Filter pack,17.06,2023-09-07 00:56:00
BILL-000099,JOB-000052,parts,Valve assembly,38.27,2023-09-07 01:56:00
BILL-000100,JOB-000053,parts,Valve assembly,103.78,2023-09-06 17:32:00
BILL-000101,JOB-000053,parts,Sensor kit,115.34,2023-09-08 01:32:00
BILL-000102,JOB-000054,parts,Thermostat,149.77,2025-03-26 20:42:00
BILL-000103,JOB-000055,parts,Control board,94.89,2025-03-27 12:13:00
BILL-000104,JOB-000056,parts,Wiring harness,27.45,2025-03-26 16:03:00
BILL-000105,JOB-000057,parts,Control board,98.56,2025-03-27 17:22:00
BILL-000106,JOB-000057,parts,Filter pack,58.41,2025-03-27 03:22:00
BILL-000107,JOB-000058,parts,Sensor kit,129.22,2024-10-16 02:03:00
BILL-000108,JOB-000059,parts,Filter pack,35.88,2024-10-16 05:08:00
BILL-000109,JOB-000060,parts,Sensor kit,133.66,2024-11-26 16:33:00
BILL-000110,JOB-000061,parts,Compressor unit,721.69,2024-11-26 20:48:00
BILL-000111,JOB-000062,parts,Control board,86.06,2024-12-30 19:35:00
BILL-000112,JOB-000062,parts,Refrigerant refill,67.96,2024-12-30 19:35:00
BILL-000113,JOB-000063,parts,Refrigerant refill,63.03,2025-01-01 01:17:00
BILL-000114,JOB-000063,parts,Valve assembly,79.73,2024-12-31 21:17:00
BILL-000115,JOB-000064,parts,Refrigerant refill,121.5,2025-01-01 12:08:00
BILL-000116,JOB-000064,parts,Valve assembly,69.96,2025-01-01 06:08:00
BILL-000117,JOB-000065,parts,Thermostat,116.27,2024-12-21 14:17:00
BILL-000118,JOB-000066,parts,Filter pack,49.76,2024-12-21 13:44:00
BILL-000119,JOB-000066,parts,Wiring harness,27.87,2024-12-21 12:44:00
BILL-000120,JOB-000067,parts,Thermostat,58.21,2024-12-22 00:58:00
BILL-000121,JOB-000068,parts,Valve assembly,121.45,2024-12-22 12:33:00
BILL-000122,JOB-000068,parts,Filter pack,32.62,2024-12-21 06:33:00
BILL-000123,JOB-000069,parts,Sensor kit,80.67,2023-03-23 01:12:00
BILL-000124,JOB-000069,parts,Filter pack,33.44,2023-03-23 08:12:00
BILL-000125,JOB-000070,parts,Compressor unit,695.36,2023-03-23 18:49:00
BILL-000126,JOB-000070,parts,Filter pack,18.22,2023-03-23 13:49:00
BILL-000127,JOB-000071,parts,Refrigerant refill,65.79,2023-03-24 12:20:00
BILL-000128,JOB-000072,parts,Control board,307.38,2023-03-23 19:47:00
BILL-000129,JOB-000072,parts,Wiring harness,58.45,2023-03-23 05:47:00
BILL-000130,JOB-000072,parts,Refrigerant refill,68.94,2023-03-24 00:47:00
BILL-000131,JOB-000072,credit_return,Customer return/adjustment,-35.58,2023-03-24 16:47:00
BILL-000132,JOB-000073,parts,Thermostat,55.1,2024-07-23 23:21:00
BILL-000133,JOB-000075,parts,Compressor unit,433.71,2024-07-24 01:49:00
BILL-000134,JOB-000075,parts,Compressor unit,459.3,2024-07-23 14:49:00
BILL-000135,JOB-000075,parts,Compressor unit,780.2,2024-07-22 15:49:00
BILL-000136,JOB-000076,parts,Control board,174.61,2024-07-23 18:01:00
BILL-000137,JOB-000077,parts,Filter pack,35.28,2023-06-15 21:40:00
BILL-000138,JOB-000077,parts,Filter pack,36.81,2023-06-15 11:40:00
BILL-000139,JOB-000078,parts,Thermostat,177.14,2023-06-14 20:18:00
BILL-000140,JOB-000078,parts,Filter pack,49.71,2023-06-15 03:18:00
BILL-000141,JOB-000078,credit_return,Customer return/adjustment,-15.78,2023-06-16 12:18:00
BILL-000142,JOB-000079,parts,Wiring harness,25.69,2023-06-15 03:54:00
BILL-000143,JOB-000079,parts,Filter pack,59.29,2023-06-16 11:54:00
BILL-000144,JOB-000080,parts,Compressor unit,218.3,2023-06-15 13:21:00
BILL-000145,JOB-000080,parts,Control board,183.51,2023-06-16 09:21:00
BILL-000146,JOB-000081,parts,Valve assembly,106.48,2023-06-15 03:31:00
BILL-000147,JOB-000081,parts,Thermostat,49.96,2023-06-15 04:31:00
BILL-000148,JOB-000082,parts,Thermostat,149.76,2024-08-17 21:06:00
BILL-000149,JOB-000082,parts,Refrigerant refill,194.14,2024-08-17 19:06:00
BILL-000150,JOB-000083,parts,Thermostat,49.59,2024-08-17 08:41:00
BILL-000151,JOB-000083,parts,Control board,192.22,2024-08-17 05:41:00
BILL-000152,JOB-000084,parts,Refrigerant refill,178.54,2025-05-07 17:07:00
BILL-000153,JOB-000084,parts,Compressor unit,216.63,2025-05-06 23:07:00
BILL-000154,JOB-000084,parts,Thermostat,101.26,2025-05-06 16:07:00
BILL-000155,JOB-000086,parts,Filter pack,37.5,2023-07-09 04:06:00
BILL-000156,JOB-000086,parts,Sensor kit,117.44,2023-07-07 19:06:00
BILL-000157,JOB-000086,parts,Refrigerant refill,127.02,2023-07-08 15:06:00
BILL-000158,JOB-000088,parts,Refrigerant refill,121.89,2023-03-30 05:51:00
BILL-000159,JOB-000088,parts,Wiring harness,28.52,2023-03-31 00:51:00
BILL-000160,JOB-000088,parts,Control board,94.26,2023-03-29 18:51:00
BILL-000161,JOB-000089,parts,Compressor unit,449.95,2023-03-29 16:00:00
BILL-000162,JOB-000090,parts,Thermostat,102.94,2023-03-31 03:55:00
BILL-000163,JOB-000090,parts,Control board,187.4,2023-03-30 01:55:00
BILL-000164,JOB-000090,parts,Wiring harness,81.36,2023-03-30 13:55:00
BILL-000165,JOB-000091,parts,Filter pack,16.38,2023-03-30 19:49:00
BILL-000166,JOB-000091,parts,Wiring harness,26.37,2023-03-30 20:49:00
BILL-000167,JOB-000092,parts,Thermostat,159.85,2023-03-31 17:18:00
BILL-000168,JOB-000092,parts,Compressor unit,683.85,2023-03-30 05:18:00
BILL-000169,JOB-000093,parts,Compressor unit,686.33,2024-05-20 13:54:00
BILL-000170,JOB-000094,parts,Refrigerant refill,202.78,2024-05-21 13:10:00
BILL-000171,JOB-000094,parts,Wiring harness,50.61,2024-05-22 10:10:00
BILL-000172,JOB-000095,parts,Valve assembly,71.53,2023-07-24 23:36:00
BILL-000173,JOB-000095,parts,Filter pack,51.71,2023-07-26 00:36:00
BILL-000174,JOB-000095,parts,Valve assembly,102.67,2023-07-24 21:36:00
BILL-000175,JOB-000096,parts,Thermostat,155.69,2023-07-26 07:27:00
BILL-000176,JOB-000096,parts,Refrigerant refill,62.6,2023-07-24 15:27:00
BILL-000177,JOB-000096,parts,Sensor kit,41.07,2023-07-25 16:27:00
BILL-000178,JOB-000098,parts,Thermostat,104.42,2024-09-09 23:51:00
BILL-000179,JOB-000099,parts,Sensor kit,134.14,2024-05-22 10:16:00
BILL-000180,JOB-000101,parts,Compressor unit,515.83,2024-09-18 16:30:00
BILL-000181,JOB-000101,parts,Control board,101.06,2024-09-18 22:30:00
BILL-000182,JOB-000102,parts,Refrigerant refill,195.12,2024-09-17 20:59:00
BILL-000183,JOB-000102,parts,Control board,91.29,2024-09-19 10:59:00
BILL-000184,JOB-000103,parts,Filter pack,51.38,2024-09-18 21:46:00
BILL-000185,JOB-000103,parts,Valve assembly,75.37,2024-09-18 12:46:00
BILL-000186,JOB-000104,parts,Thermostat,51.52,2024-09-19 02:48:00
BILL-000187,JOB-000104,parts,Compressor unit,262.97,2024-09-18 07:48:00
BILL-000188,JOB-000105,parts,Filter pack,32.62,2024-09-19 06:46:00
BILL-000189,JOB-000106,parts,Filter pack,18.88,2023-03-01 22:16:00
BILL-000190,JOB-000106,parts,Wiring harness,76.03,2023-03-02 03:16:00
BILL-000191,JOB-000107,parts,Thermostat,151.47,2023-03-03 06:28:00
BILL-000192,JOB-000107,parts,Filter pack,35.22,2023-03-02 13:28:00
BILL-000193,JOB-000107,parts,Valve assembly,71.3,2023-03-03 00:28:00
BILL-000194,JOB-000108,parts,Control board,201.22,2023-03-03 02:00:00
BILL-000195,JOB-000108,parts,Filter pack,33.19,2023-03-01 14:00:00
BILL-000196,JOB-000109,parts,Sensor kit,88.08,2023-03-03 01:12:00
BILL-000197,JOB-000109,parts,Valve assembly,115.33,2023-03-02 02:12:00
BILL-000198,JOB-000109,parts,Valve assembly,72.78,2023-03-02 10:12:00
BILL-000199,JOB-000109,credit_return,Customer return/adjustment,-18.07,2023-03-06 15:12:00
BILL-000200,JOB-000110,parts,Control board,94.78,2023-03-01 17:39:00
BILL-000201,JOB-000110,parts,Wiring harness,56.76,2023-03-01 17:39:00
BILL-000202,JOB-000110,parts,Compressor unit,445.22,2023-03-02 11:39:00
BILL-000203,JOB-000112,parts,Sensor kit,44.31,2024-04-16 22:12:00
BILL-000204,JOB-000112,parts,Refrigerant refill,132.22,2024-04-16 18:12:00
BILL-000205,JOB-000112,parts,Valve assembly,34.44,2024-04-17 11:12:00
BILL-000206,JOB-000113,parts,Wiring harness,53.89,2024-04-16 20:57:00
BILL-000207,JOB-000113,parts,Valve assembly,77.47,2024-04-17 01:57:00
BILL-000208,JOB-000113,parts,Wiring harness,88.7,2024-04-18 03:57:00
BILL-000209,JOB-000114,parts,Valve assembly,37.36,2024-06-06 23:29:00
BILL-000210,JOB-000115,parts,Valve assembly,123.74,2024-06-07 19:05:00
BILL-000211,JOB-000116,parts,Wiring harness,25.51,2024-06-07 20:13:00
BILL-000212,JOB-000116,parts,Filter pack,58.7,2024-06-08 13:13:00
BILL-000213,JOB-000117,parts,Wiring harness,54.13,2023-08-01 11:19:00
BILL-000214,JOB-000117,parts,Thermostat,58.46,2023-07-31 10:19:00
BILL-000215,JOB-000118,parts,Control board,97.19,2023-08-01 06:34:00
BILL-000216,JOB-000118,parts,Refrigerant refill,195.48,2023-07-31 19:34:00
BILL-000217,JOB-000119,parts,Valve assembly,39.94,2023-08-01 13:52:00
BILL-000218,JOB-000119,parts,Sensor kit,87.89,2023-08-01 17:52:00
BILL-000219,JOB-000119,parts,Thermostat,49.51,2023-08-01 05:52:00
BILL-000220,JOB-000120,parts,Control board,193.58,2023-08-01 08:11:00
BILL-000221,JOB-000120,parts,Thermostat,156.53,2023-07-31 17:11:00
BILL-000222,JOB-000120,parts,Control board,289.82,2023-08-01 22:11:00
BILL-000223,JOB-000121,parts,Refrigerant refill,181.12,2023-08-02 15:20:00
BILL-000224,JOB-000122,parts,Refrigerant refill,200.45,2025-01-23 20:52:00
BILL-000225,JOB-000123,parts,Compressor unit,491.87,2025-01-24 02:24:00
BILL-000226,JOB-000123,parts,Control board,85.5,2025-01-25 04:24:00
BILL-000227,JOB-000124,parts,Control board,89.38,2023-07-14 16:39:00
BILL-000228,JOB-000124,parts,Compressor unit,711.91,2023-07-13 13:39:00
BILL-000229,JOB-000124,parts,Control board,186.37,2023-07-13 21:39:00
BILL-000230,JOB-000125,parts,Valve assembly,118.13,2023-07-15 06:13:00
BILL-000231,JOB-000125,parts,Control board,176.56,2023-07-13 13:13:00
BILL-000232,JOB-000125,parts,Sensor kit,45.21,2023-07-15 06:13:00
BILL-000233,JOB-000126,parts,Refrigerant refill,129.49,2024-09-24 05:50:00
BILL-000234,JOB-000126,parts,Control board,284.6,2024-09-25 05:50:00
BILL-000235,JOB-000126,parts,Valve assembly,74.26,2024-09-23 17:50:00
BILL-000236,JOB-000127,parts,Sensor kit,40.66,2024-09-23 20:44:00
BILL-000237,JOB-000127,parts,Wiring harness,27.94,2024-09-23 15:44:00
BILL-000238,JOB-000128,parts,Thermostat,58.41,2024-09-24 13:34:00
BILL-000239,JOB-000128,parts,Sensor kit,91.5,2024-09-24 20:34:00
BILL-000240,JOB-000128,parts,Valve assembly,41.66,2024-09-24 13:34:00
BILL-000241,JOB-000129,parts,Refrigerant refill,140.47,2024-09-25 01:35:00
BILL-000242,JOB-000129,parts,Wiring harness,75.29,2024-09-25 09:35:00
BILL-000243,JOB-000129,parts,Sensor kit,87.65,2024-09-25 04:35:00
BILL-000244,JOB-000130,parts,Sensor kit,89.84,2024-09-25 12:58:00
BILL-000245,JOB-000130,parts,Valve assembly,69.44,2024-09-25 11:58:00
BILL-000246,JOB-000130,parts,Thermostat,117.99,2024-09-25 08:58:00
BILL-000247,JOB-000131,parts,Valve assembly,39.5,2024-06-16 00:39:00
BILL-000248,JOB-000131,parts,Filter pack,55.27,2024-06-15 12:39:00
BILL-000249,JOB-000131,parts,Control board,86.06,2024-06-16 09:39:00
BILL-000250,JOB-000132,parts,Control board,206.5,2024-06-15 19:50:00
BILL-000251,JOB-000133,parts,Refrigerant refill,70.2,2024-06-15 03:23:00
BILL-000252,JOB-000134,parts,Wiring harness,25.09,2024-06-15 10:52:00
BILL-000253,JOB-000134,parts,Control board,101.59,2024-06-14 22:52:00
BILL-000254,JOB-000136,parts,Compressor unit,231.42,2023-07-21 10:24:00
BILL-000255,JOB-000136,parts,Thermostat,100.08,2023-07-21 06:24:00
BILL-000256,JOB-000137,parts,Refrigerant refill,129.77,2023-07-21 12:34:00
BILL-000257,JOB-000138,parts,Sensor kit,90.34,2024-12-20 22:26:00
BILL-000258,JOB-000139,parts,Control board,86.13,2024-12-20 20:18:00
BILL-000259,JOB-000140,parts,Wiring harness,83.27,2025-05-16 13:42:00
BILL-000260,JOB-000140,parts,Filter pack,18.66,2025-05-18 07:42:00
BILL-000261,JOB-000141,parts,Refrigerant refill,65.91,2025-05-17 18:56:00
BILL-000262,JOB-000141,parts,Filter pack,36.85,2025-05-17 23:56:00
BILL-000263,JOB-000142,parts,Thermostat,110.71,2025-05-16 18:44:00
BILL-000264,JOB-000143,parts,Valve assembly,35.1,2025-05-17 05:49:00
BILL-000265,JOB-000144,parts,Filter pack,17.01,2023-08-18 05:54:00
BILL-000266,JOB-000144,parts,Valve assembly,79.09,2023-08-17 15:54:00
BILL-000267,JOB-000144,parts,Sensor kit,77.77,2023-08-18 23:54:00
BILL-000268,JOB-000145,parts,Valve assembly,77.8,2023-08-18 22:49:00
BILL-000269,JOB-000145,parts,Control board,283.35,2023-08-18 04:49:00
BILL-000270,JOB-000145,parts,Compressor unit,232.23,2023-08-18 04:49:00
BILL-000271,JOB-000146,parts,Sensor kit,42.9,2023-08-19 12:32:00
BILL-000272,JOB-000147,parts,Compressor unit,239.69,2023-08-19 05:15:00
BILL-000273,JOB-000147,parts,Compressor unit,526.18,2023-08-18 19:15:00
BILL-000274,JOB-000147,parts,Control board,283.79,2023-08-18 01:15:00
BILL-000275,JOB-000148,parts,Control board,94.94,2024-05-02 01:31:00
BILL-000276,JOB-000149,parts,Thermostat,114.08,2024-05-02 02:45:00
BILL-000277,JOB-000149,parts,Compressor unit,217.26,2024-05-02 00:45:00
BILL-000278,JOB-000150,parts,Compressor unit,717.43,2024-05-02 16:02:00
BILL-000279,JOB-000150,parts,Wiring harness,76.32,2024-05-03 12:02:00
BILL-000280,JOB-000151,parts,Control board,175.48,2024-05-03 10:01:00
BILL-000281,JOB-000152,parts,Filter pack,17.44,2025-04-09 14:02:00
BILL-000282,JOB-000152,parts,Refrigerant refill,59.7,2025-04-09 11:02:00
BILL-000283,JOB-000153,parts,Compressor unit,257.92,2025-04-10 04:20:00
BILL-000284,JOB-000153,parts,Compressor unit,218.72,2025-04-10 17:20:00
BILL-000285,JOB-000153,parts,Sensor kit,77.24,2025-04-10 11:20:00
BILL-000286,JOB-000155,parts,Valve assembly,38.81,2025-02-22 17:38:00
BILL-000287,JOB-000156,parts,Control board,90.25,2025-02-22 23:38:00
BILL-000288,JOB-000156,parts,Refrigerant refill,135.34,2025-02-22 11:38:00
BILL-000289,JOB-000156,parts,Refrigerant refill,135.54,2025-02-22 12:38:00
BILL-000290,JOB-000157,parts,Refrigerant refill,210.33,2025-02-22 10:46:00
BILL-000291,JOB-000157,parts,Control board,92.09,2025-02-22 16:46:00
BILL-000292,JOB-000158,parts,Thermostat,98.89,2025-02-22 00:26:00
BILL-000293,JOB-000158,parts,Refrigerant refill,136.29,2025-02-22 05:26:00
BILL-000294,JOB-000158,parts,Control board,198.55,2025-02-22 01:26:00
BILL-000295,JOB-000158,credit_return,Customer return/adjustment,-32.63,2025-03-01 15:26:00
BILL-000296,JOB-000160,parts,Thermostat,48.83,2024-11-07 12:50:00
BILL-000297,JOB-000160,parts,Valve assembly,77.34,2024-11-08 05:50:00
BILL-000298,JOB-000160,parts,Control board,90.8,2024-11-09 01:50:00
BILL-000299,JOB-000161,parts,Wiring harness,54.38,2023-09-12 01:40:00
BILL-000300,JOB-000162,parts,Wiring harness,75.11,2023-09-12 09:57:00
BILL-000301,JOB-000162,credit_return,Customer return/adjustment,-72.22,2023-09-12 13:57:00
BILL-000302,JOB-000163,parts,Filter pack,38.23,2023-09-27 00:25:00
BILL-000303,JOB-000163,parts,Refrigerant refill,62.93,2023-09-27 02:25:00
BILL-000304,JOB-000163,parts,Wiring harness,58.11,2023-09-27 10:25:00
BILL-000305,JOB-000165,parts,Wiring harness,89.64,2023-01-18 05:47:00
BILL-000306,JOB-000166,parts,Thermostat,109.57,2023-01-19 02:16:00
BILL-000307,JOB-000166,parts,Valve assembly,41.5,2023-01-18 19:16:00
BILL-000308,JOB-000166,parts,Refrigerant refill,70.3,2023-01-18 07:16:00
BILL-000309,JOB-000167,parts,Control board,100.16,2023-01-18 11:12:00
BILL-000310,JOB-000167,parts,Filter pack,52.86,2023-01-19 08:12:00
BILL-000311,JOB-000168,parts,Valve assembly,121.07,2023-01-19 09:47:00
BILL-000312,JOB-000168,parts,Compressor unit,230.73,2023-01-19 13:47:00
BILL-000313,JOB-000169,parts,Sensor kit,84.37,2024-04-16 13:53:00
BILL-000314,JOB-000169,parts,Compressor unit,435.55,2024-04-16 07:53:00
BILL-000315,JOB-000170,parts,Refrigerant refill,118.52,2024-04-15 17:57:00
BILL-000316,JOB-000170,parts,Valve assembly,115.17,2024-04-15 16:57:00
BILL-000317,JOB-000170,parts,Thermostat,51.39,2024-04-16 05:57:00
BILL-000318,JOB-000171,parts,Sensor kit,43.61,2024-04-16 00:52:00
BILL-000319,JOB-000171,parts,Compressor unit,221.49,2024-04-15 17:52:00
BILL-000320,JOB-000172,parts,Thermostat,156.08,2024-04-17 04:10:00
BILL-000321,JOB-000172,parts,Refrigerant refill,70.87,2024-04-16 09:10:00
BILL-000322,JOB-000172,parts,Valve assembly,39.36,2024-04-16 15:10:00
BILL-000323,JOB-000173,parts,Refrigerant refill,119.84,2024-04-17 03:40:00
BILL-000324,JOB-000174,parts,Control board,89.38,2024-07-18 22:29:00
BILL-000325,JOB-000174,parts,Filter pack,53.09,2024-07-19 03:29:00
BILL-000326,JOB-000174,parts,Wiring harness,51.07,2024-07-18 06:29:00
BILL-000327,JOB-000175,parts,Filter pack,38.86,2024-07-18 11:09:00
BILL-000328,JOB-000175,parts,Thermostat,110.63,2024-07-17 22:09:00
BILL-000329,JOB-000176,parts,Sensor kit,115.4,2024-07-19 03:19:00
BILL-000330,JOB-000176,parts,Refrigerant refill,130.28,2024-07-19 12:19:00
BILL-000331,JOB-000177,parts,Filter pack,17.56,2023-11-09 23:35:00
BILL-000332,JOB-000177,parts,Compressor unit,752.58,2023-11-09 10:35:00
BILL-000333,JOB-000177,parts,Control board,103.71,2023-11-09 00:35:00
BILL-000334,JOB-000178,parts,Wiring harness,86.35,2023-11-09 22:32:00
BILL-000335,JOB-000178,parts,Compressor unit,716.02,2023-11-09 22:32:00
BILL-000336,JOB-000178,parts,Thermostat,103.01,2023-11-10 01:32:00
BILL-000337,JOB-000179,parts,Filter pack,19.08,2024-12-12 11:34:00
BILL-000338,JOB-000181,parts,Control board,270.24,2024-04-20 08:53:00
BILL-000339,JOB-000181,parts,Wiring harness,50.38,2024-04-19 21:53:00
BILL-000340,JOB-000182,parts,Thermostat,153.26,2024-04-19 14:55:00
BILL-000341,JOB-000182,parts,Refrigerant refill,207.79,2024-04-18 20:55:00
BILL-000342,JOB-000183,parts,Wiring harness,83.9,2023-06-19 18:32:00
