timesheet_id,technician_id,job_id,work_date,hours_worked,entry_type,logged_at
TS-000062,TECH-0023,JOB-000056,2025-03-26,1.07,job,2025-03-26 18:00:00
TS-000063,TECH-0023,JOB-000057,2025-03-26,2.07,job,2025-03-26 18:00:00
TS-000064,TECH-9999,JOB-000058,2024-10-14,2.05,job,2024-10-14 18:00:00
TS-000065,TECH-0002,JOB-000059,2024-10-14,1.87,job,2024-10-14 18:00:00
TS-000066,TECH-0026,JOB-000060,2024-11-26,0.38,job,2024-11-26 18:00:00
TS-000067,TECH-0026,JOB-000061,2024-11-26,1.57,job,2024-11-26 18:00:00
TS-000068,TECH-0023,JOB-000062,2024-12-30,2.48,job,2024-12-30 18:00:00
TS-000069,TECH-0023,JOB-000063,2024-12-30,2.38,job,2024-12-30 18:00:00
TS-000070,TECH-0023,JOB-000064,2024-12-30,2.08,job,2024-12-30 18:00:00
TS-000071,TECH-0005,JOB-000065,2024-12-20,2.27,job,2024-12-20 18:00:00
TS-000072,TECH-0005,JOB-000066,2024-12-20,2.02,job,2024-12-20 18:00:00
TS-000073,TECH-0005,JOB-000067,2024-12-20,1.06,job,2024-12-20 18:00:00
TS-000074,TECH-0005,JOB-000067,2024-12-20,1.34,job,2024-12-20 18:01:00
TS-000075,TECH-0005,JOB-000068,2024-12-20,2.18,job,2024-12-20 18:00:00
TS-000076,TECH-0012,JOB-000069,2023-03-22,2.08,job,2023-03-22 18:00:00
TS-000077,TECH-0012,JOB-000070,2023-03-22,0.93,job,2023-03-22 18:00:00
TS-000078,TECH-0012,JOB-000071,2023-03-22,0.63,job,2023-03-22 18:00:00
TS-000079,TECH-0012,JOB-000072,2023-03-22,1.97,job,2023-03-22 18:00:00
TS-000080,TECH-0025,JOB-000073,2024-07-22,1.55,job,2024-07-22 18:00:00
TS-000081,TECH-0025,JOB-000074,2024-07-22,0.92,job,2024-07-22 18:00:00
TS-000082,TECH-0025,JOB-000075,2024-07-22,0.88,job,2024-07-22 18:00:00
TS-000083,TECH-0025,JOB-000076,2024-07-22,1.48,job,2024-07-22 18:00:00
TS-000084,TECH-0029,JOB-000077,2023-06-14,2.02,job,2023-06-14 18:00:00
TS-000085,TECH-0029,JOB-000078,2023-06-14,1.9,job,2023-06-14 18:00:00
TS-000086,TECH-0029,JOB-000078,2023-06-14,1.9,job,2023-06-14 18:45:00
TS-000087,TECH-0029,JOB-000079,2023-06-14,2.33,job,2023-06-14 18:00:00
TS-000088,TECH-0029,JOB-000080,2023-06-14,1.62,job,2023-06-14 18:00:00
TS-000089,TECH-0029,JOB-000081,2023-06-14,0.9,job,2023-06-14 18:00:00
TS-000090,TECH-0005,JOB-000082,2024-08-16,1.9,job,2024-08-16 18:00:00
TS-000091,TECH-0005,JOB-000083,2024-08-16,1.85,job,2024-08-16 18:00:00
TS-000092,TECH-0024,JOB-000084,2025-05-06,1.2,job,2025-05-06 18:00:00
TS-000093,TECH-0001,JOB-000086,2023-07-07,1.07,job,2023-07-07 18:00:00
TS-000094,TECH-0001,JOB-000087,2023-07-07,2.25,job,2023-07-07 18:00:00
TS-000095,TECH-0001,JOB-000088,2023-03-29,0.97,job,2023-03-29 18:00:00
TS-000096,TECH-0001,JOB-000088,2023-03-29,1.25,job,2023-03-29 18:01:00
TS-000097,TECH-0001,JOB-000089,2023-03-29,1.58,job,2023-03-29 18:00:00
TS-000098,TECH-0001,JOB-000090,2023-03-29,1.3,job,2023-03-29 18:00:00
TS-000099,TECH-0001,JOB-000091,2023-03-29,2.35,job,2023-03-29 18:00:00
TS-000100,TECH-0001,JOB-000092,2023-03-29,1.73,job,2023-03-29 18:00:00
TS-000101,TECH-0011,JOB-000093,2024-05-20,0.78,job,2024-05-20 18:00:00
TS-000102,TECH-0011,JOB-000094,2024-05-20,0.64,job,2024-05-20 18:00:00
TS-000103,TECH-0011,JOB-000094,2024-05-20,0.83,job,2024-05-20 18:01:00
TS-000104,TECH-0003,JOB-000095,2023-07-24,1.78,job,2023-07-24 18:00:00
TS-000105,TECH-0003,JOB-000096,2023-07-24,0.53,job,2023-07-24 18:00:00
TS-000106,TECH-0013,JOB-000098,2024-09-09,1.57,job,2024-09-09 18:00:00
TS-000107,TECH-0025,JOB-000099,2024-05-22,0.65,job,2024-05-22 18:00:00
TS-000108,TECH-0025,JOB-000100,2024-05-22,1.72,job,2024-05-22 18:00:00
TS-000109,TECH-0009,JOB-000101,2024-09-17,0.49,job,2024-09-17 18:00:00
TS-000110,TECH-0009,JOB-000101,2024-09-17,0.49,job,2024-09-17 18:45:00
TS-000111,TECH-0009,JOB-000101,2024-09-17,0.77,job,2024-09-17 18:01:00
TS-000112,TECH-0009,JOB-000102,2024-09-17,0.95,job,2024-09-17 18:00:00
TS-000113,TECH-0009,JOB-000103,2024-09-17,2.43,job,2024-09-17 18:00:00
TS-000114,TECH-0009,JOB-000104,2024-09-17,2.2,job,2024-09-17 18:00:00
TS-000115,TECH-0009,JOB-000105,2024-09-17,0.19,job,2024-09-17 18:00:00
TS-000116,TECH-0009,JOB-000105,2024-09-17,0.3,job,2024-09-17 18:01:00
TS-000117,TECH-0029,JOB-000106,2023-03-01,0.97,job,2023-03-01 18:00:00
TS-000118,TECH-0029,JOB-000107,2023-03-01,0.5,job,2023-03-01 18:00:00
TS-000119,TECH-0029,JOB-000108,2023-03-01,0.98,job,2023-03-01 18:00:00
TS-000120,TECH-0029,JOB-000108,2023-03-01,1.0,job,2023-03-01 18:01:00
TS-000121,TECH-0029,JOB-000109,2023-03-01,1.08,job,2023-03-01 18:00:00
TS-000122,TECH-0029,JOB-000109,2023-03-01,0.89,job,2023-03-01 18:01:00
TS-000123,TECH-0029,JOB-000110,2023-03-01,0.93,job,2023-03-01 18:00:00
TS-000124,TECH-0024,JOB-000112,2024-04-16,0.6,job,2024-04-16 18:00:00
TS-000125,TECH-0024,JOB-000112,2024-04-16,0.98,job,2024-04-16 18:01:00
TS-000126,TECH-0024,JOB-000113,2024-04-16,0.88,job,2024-04-16 18:00:00
TS-000127,TECH-0015,JOB-000114,2024-06-06,0.53,job,2024-06-06 18:00:00
TS-000128,TECH-0015,JOB-000114,2024-06-06,0.82,job,2024-06-06 18:01:00
TS-000129,TECH-0015,JOB-000115,2024-06-06,1.95,job,2024-06-06 18:00:00
TS-000130,TECH-0015,JOB-000116,2024-06-06,1.92,job,2024-06-06 18:00:00
TS-000131,TECH-0019,JOB-000117,2023-07-31,0.26,job,2023-07-31 18:00:00
TS-000132,TECH-0019,JOB-000117,2023-07-31,0.18,job,2023-07-31 18:01:00
TS-000133,TECH-0019,JOB-000118,2023-07-31,1.75,job,2023-07-31 18:00:00
TS-000134,TECH-0019,JOB-000119,2023-07-31,0.67,job,2023-07-31 18:00:00
TS-000135,TECH-0019,JOB-000120,2023-07-31,0.85,job,2023-07-31 18:00:00
TS-000136,TECH-9999,JOB-000121,2023-07-31,1.35,job,2023-07-31 18:00:00
TS-000137,TECH-0003,JOB-000122,2025-01-23,1.92,job,2025-01-23 18:00:00
TS-000138,TECH-0003,JOB-000123,2025-01-23,1.75,job,2025-01-23 18:00:00
TS-000139,TECH-0006,JOB-000124,2023-07-13,1.18,job,2023-07-13 18:00:00
TS-000140,TECH-0006,JOB-000125,2023-07-13,1.13,job,2023-07-13 18:00:00
TS-000141,TECH-0014,JOB-000126,2024-09-23,1.9,job,2024-09-23 18:00:00
TS-000142,TECH-0014,JOB-000127,2024-09-23,0.55,job,2024-09-23 18:00:00
TS-000143,TECH-0014,JOB-000127,2024-09-23,0.55,job,2024-09-23 18:01:00
TS-000144,TECH-0014,JOB-000128,2024-09-23,1.03,job,2024-09-23 18:00:00
TS-000145,TECH-0014,JOB-000129,2024-09-23,0.57,job,2024-09-23 18:00:00
TS-000146,TECH-0014,JOB-000130,2024-09-23,2.2,job,2024-09-23 18:00:00
TS-000147,TECH-0016,JOB-000131,2024-06-14,1.88,job,2024-06-14 18:00:00
TS-000148,TECH-0016,JOB-000132,2024-06-14,0.79,job,2024-06-14 18:00:00
TS-000149,TECH-0016,JOB-000132,2024-06-14,0.64,job,2024-06-14 18:01:00
TS-000150,TECH-0016,JOB-000133,2024-06-14,2.25,job,2024-06-14 18:00:00
TS-000151,TECH-0016,JOB-000134,2024-06-14,1.57,job,2024-06-14 18:00:00
TS-000152,TECH-0008,JOB-000136,2023-07-19,2.37,job,2023-07-19 18:00:00
TS-000153,TECH-0008,JOB-000137,2023-07-19,2.32,job,2023-07-19 18:00:00
TS-000154,TECH-0015,JOB-000138,2024-12-20,1.7,job,2024-12-20 18:00:00
TS-000155,TECH-0015,JOB-000139,2024-12-20,1.5,job,2024-12-20 18:00:00
TS-000156,TECH-0027,JOB-000140,2025-05-16,1.45,job,2025-05-16 18:00:00
TS-000157,TECH-0027,JOB-000141,2025-05-16,2.38,job,2025-05-16 18:00:00
TS-000158,TECH-0027,JOB-000142,2025-05-16,1.2,job,2025-05-16 18:00:00
TS-000159,TECH-0027,JOB-000143,2025-05-16,0.78,job,2025-05-16 18:00:00
TS-000160,TECH-0009,JOB-000144,2023-08-17,1.15,job,2023-08-17 18:00:00
TS-000161,TECH-0009,JOB-000144,2023-08-17,1.17,job,2023-08-17 18:01:00
TS-000162,TECH-0009,JOB-000145,2023-08-17,0.3,job,2023-08-17 18:00:00
TS-000163,TECH-0009,JOB-000145,2023-08-17,0.23,job,2023-08-17 18:01:00
TS-000164,TECH-0009,JOB-000146,2023-08-17,0.59,job,2023-08-17 18:00:00
TS-000165,TECH-0009,JOB-000146,2023-08-17,0.86,job,2023-08-17 18:01:00
TS-000166,TECH-0009,JOB-000147,2023-08-17,1.97,job,2023-08-17 18:00:00
TS-000167,TECH-0029,JOB-000148,2024-05-01,2.47,job,2024-05-01 18:00:00
TS-000168,TECH-0029,JOB-000149,2024-05-01,0.92,job,2024-05-01 18:00:00
TS-000169,TECH-0029,JOB-000150,2024-05-01,2.5,job,2024-05-01 18:00:00
TS-000170,TECH-0029,JOB-000151,2024-05-01,2.1,job,2024-05-01 18:00:00
TS-000171,TECH-0029,JOB-000152,2025-04-09,1.95,job,2025-04-09 18:00:00
TS-000172,TECH-0029,JOB-000153,2025-04-09,2.12,job,2025-04-09 18:00:00
TS-000173,TECH-0012,JOB-000155,2025-02-21,0.61,job,2025-02-21 18:00:00
TS-000174,TECH-0012,JOB-000155,2025-02-21,0.91,job,2025-02-21 18:01:00
TS-000175,TECH-0012,JOB-000156,2025-02-21,1.5,job,2025-02-21 18:00:00
TS-000176,TECH-0012,JOB-000157,2025-02-21,0.67,job,2025-02-21 18:00:00
TS-000177,TECH-0012,JOB-000158,2025-02-21,0.92,job,2025-02-21 18:00:00
TS-000178,TECH-0012,JOB-000159,2024-11-07,1.0,job,2024-11-07 18:00:00
TS-000179,TECH-0012,JOB-000160,2024-11-07,0.58,job,2024-11-07 18:00:00
TS-000180,TECH-0015,JOB-000161,2023-09-11,1.57,job,2023-09-11 18:00:00
TS-000181,TECH-0015,JOB-000162,2023-09-11,2.43,job,2023-09-11 18:00:00
TS-000182,TECH-0010,JOB-000163,2023-09-25,1.15,job,2023-09-25 18:00:00
TS-000183,TECH-9999,JOB-000164,2023-09-25,0.92,job,2023-09-25 18:00:00
TS-000184,TECH-0021,JOB-000165,2023-01-17,2.32,job,2023-01-17 18:00:00
TS-000185,TECH-0021,JOB-000166,2023-01-17,1.58,job,2023-01-17 18:00:00
TS-000186,TECH-0021,JOB-000167,2023-01-17,2.33,job,2023-01-17 18:00:00
TS-000187,TECH-0021,JOB-000168,2023-01-17,1.04,job,2023-01-17 18:00:00
TS-000188,TECH-0021,JOB-000168,2023-01-17,0.83,job,2023-01-17 18:01:00
TS-000189,TECH-0006,JOB-000169,2024-04-15,0.72,job,2024-04-15 18:00:00
TS-000190,TECH-0006,JOB-000170,2024-04-15,2.3,job,2024-04-15 18:00:00
TS-000191,TECH-0006,JOB-000171,2024-04-15,2.13,job,2024-04-15 18:00:00
TS-000192,TECH-0006,JOB-000172,2024-04-15,0.49,job,2024-04-15 18:00:00
TS-000193,TECH-0006,JOB-000172,2024-04-15,0.61,job,2024-04-15 18:01:00
TS-000194,TECH-0006,JOB-000173,2024-04-15,0.96,job,2024-04-15 18:00:00
TS-000195,TECH-0006,JOB-000173,2024-04-15,0.97,job,2024-04-15 18:01:00
TS-000196,TECH-0020,JOB-000174,2024-07-17,2.3,job,2024-07-17 18:00:00
TS-000197,TECH-0020,JOB-000175,2024-07-17,1.13,job,2024-07-17 18:00:00
TS-000198,TECH-0020,JOB-000176,2024-07-17,0.75,job,2024-07-17 18:00:00
TS-000199,TECH-0020,JOB-000177,2023-11-08,1.02,job,2023-11-08 18:00:00
TS-000200,TECH-0020,JOB-000177,2023-11-08,0.66,job,2023-11-08 18:01:00
TS-000201,TECH-0020,JOB-000178,2023-11-08,2.08,job,2023-11-08 18:00:00
TS-000202,TECH-0020,JOB-000179,2024-12-11,2.1,job,2024-12-11 18:00:00
TS-000203,TECH-0020,JOB-000180,2024-12-11,0.93,job,2024-12-11 18:00:00
TS-000204,TECH-0008,JOB-000181,2024-04-18,1.13,job,2024-04-18 18:00:00
TS-000205,TECH-0008,JOB-000182,2024-04-18,1.25,job,2024-04-18 18:00:00
TS-000206,TECH-0027,JOB-000183,2023-06-19,1.7,job,2023-06-19 18:00:00
TS-000207,TECH-0027,JOB-000184,2023-06-19,2.33,job,2023-06-19 18:00:00
TS-000208,TECH-0027,JOB-000185,2023-06-19,2.1,job,2023-06-19 18:00:00
TS-000209,TECH-0027,JOB-000186,2023-06-19,2.42,job,2023-06-19 18:00:00
TS-000210,TECH-0027,JOB-000187,2023-06-19,0.58,job,2023-06-19 18:00:00
TS-000211,TECH-0009,JOB-000188,2023-04-07,0.58,job,2023-04-07 18:00:00
TS-000212,TECH-0009,JOB-000189,2023-04-07,1.5,job,2023-04-07 18:00:00
TS-000213,TECH-0009,JOB-000190,2023-04-07,0.97,job,2023-04-07 18:00:00
TS-000214,TECH-0021,JOB-000191,2023-12-15,0.19,job,2023-12-15 18:00:00
TS-000215,TECH-0021,JOB-000191,2023-12-15,0.28,job,2023-12-15 18:01:00
TS-000216,TECH-0021,JOB-000192,2023-12-15,2.18,job,2023-12-15 18:00:00
TS-000217,TECH-0021,JOB-000193,2023-12-15,2.35,job,2023-12-15 18:00:00
TS-000218,TECH-0012,JOB-000194,2023-01-24,1.35,job,2023-01-24 18:00:00
TS-000219,TECH-0012,JOB-000195,2023-01-24,2.47,job,2023-01-24 18:00:00
TS-000220,TECH-0012,JOB-000196,2023-01-24,1.48,job,2023-01-24 18:00:00
TS-000221,TECH-0011,JOB-000197,2023-12-20,0.58,job,2023-12-20 18:00:00
TS-000222,TECH-0011,JOB-000197,2023-12-20,0.4,job,2023-12-20 18:01:00
TS-000223,TECH-0011,JOB-000198,2023-12-20,1.12,job,2023-12-20 18:00:00
TS-000224,TECH-0012,JOB-000199,2024-07-05,1.37,job,2024-07-05 18:00:00
TS-000225,TECH-0012,JOB-000199,2024-07-05,1.37,job,2024-07-05 18:45:00
TS-000226,TECH-0012,JOB-000200,2024-07-05,1.5,job,2024-07-05 18:00:00
TS-000227,TECH-0016,JOB-000201,2023-06-02,1.95,job,2023-06-02 18:00:00
TS-000228,TECH-0016,JOB-000202,2023-06-02,1.18,job,2023-06-02 18:00:00
TS-000229,TECH-0016,JOB-000203,2023-06-02,1.72,job,2023-06-02 18:00:00
TS-000230,TECH-0001,JOB-000204,2024-10-23,2.07,job,2024-10-23 18:00:00
TS-000231,TECH-0001,JOB-000205,2024-10-23,2.37,job,2024-10-23 18:00:00
TS-000232,TECH-0001,JOB-000206,2024-10-23,0.68,job,2024-10-23 18:00:00
TS-000233,TECH-0029,JOB-000207,2024-09-09,1.27,job,2024-09-09 18:00:00
TS-000234,TECH-0029,JOB-000208,2024-09-09,2.38,job,2024-09-09 18:00:00
TS-000235,TECH-0016,JOB-000209,2023-10-24,2.25,job,2023-10-24 18:00:00
TS-000236,TECH-0016,JOB-000210,2023-10-24,1.37,job,2023-10-24 18:00:00
TS-000237,TECH-0016,JOB-000211,2023-10-24,2.17,job,2023-10-24 18:00:00
TS-000238,TECH-0016,JOB-000212,2023-10-24,0.6,job,2023-10-24 18:00:00
TS-000239,TECH-0016,JOB-000213,2023-10-24,1.67,job,2023-10-24 18:00:00
TS-000240,TECH-0029,JOB-000214,2024-03-01,0.82,job,2024-03-01 18:00:00
TS-000241,TECH-0029,JOB-000215,2024-03-01,1.07,job,2024-03-01 18:00:00
TS-000242,TECH-0001,JOB-000216,2024-11-26,2.43,job,2024-11-26 18:00:00
TS-000243,TECH-0001,JOB-000217,2024-11-26,1.5,job,2024-11-26 18:00:00
TS-000244,TECH-0001,JOB-000218,2024-11-26,1.88,job,2024-11-26 18:00:00
TS-000245,TECH-0028,JOB-000220,2023-12-21,2.15,job,2023-12-21 18:00:00
TS-000246,TECH-0028,JOB-000221,2023-12-21,1.05,job,2023-12-21 18:00:00
TS-000247,TECH-0012,JOB-000223,2023-12-21,2.1,job,2023-12-21 18:00:00
TS-000248,TECH-0012,JOB-000224,2023-12-21,1.9,job,2023-12-21 18:00:00
TS-000249,TECH-0012,JOB-000225,2023-12-21,1.85,job,2023-12-21 18:00:00
TS-000250,TECH-0012,JOB-000226,2023-12-21,1.77,job,2023-12-21 18:00:00
TS-000251,TECH-0012,JOB-000227,2023-12-21,2.28,job,2023-12-21 18:00:00
TS-000252,TECH-0024,JOB-000228,2024-03-08,0.68,job,2024-03-08 18:00:00
TS-000253,TECH-0024,JOB-000229,2024-03-08,0.73,job,2024-03-08 18:00:00
TS-000254,TECH-0029,JOB-000231,2023-05-26,0.9,job,2023-05-26 18:00:00
TS-000255,TECH-0029,JOB-000232,2023-05-26,1.23,job,2023-05-26 18:00:00
TS-000256,TECH-0005,JOB-000233,2023-06-27,1.38,job,2023-06-27 18:00:00
TS-000257,TECH-0005,JOB-000234,2023-06-27,1.62,job,2023-06-27 18:00:00
TS-000258,TECH-0005,JOB-000235,2023-06-27,0.8,job,2023-06-27 18:00:00
TS-000259,TECH-0005,JOB-000236,2023-06-27,2.12,job,2023-06-27 18:00:00
TS-000260,TECH-0005,JOB-000237,2023-06-27,0.38,job,2023-06-27 18:00:00
TS-000261,TECH-0028,JOB-000238,2024-08-19,0.98,job,2024-08-19 18:00:00
TS-000262,TECH-0028,JOB-000239,2024-08-19,0.6,job,2024-08-19 18:00:00
TS-000263,TECH-0028,JOB-000240,2024-08-19,0.23,job,2024-08-19 18:00:00
TS-000264,TECH-0028,JOB-000240,2024-08-19,0.33,job,2024-08-19 18:01:00
TS-000265,TECH-0028,JOB-000241,2024-08-19,1.04,job,2024-08-19 18:00:00
TS-000266,TECH-0028,JOB-000241,2024-08-19,1.41,job,2024-08-19 18:01:00
TS-000267,TECH-0028,JOB-000242,2024-08-19,1.47,job,2024-08-19 18:00:00
TS-000268,TECH-0026,JOB-000243,2025-04-07,2.45,job,2025-04-07 18:00:00
TS-000269,TECH-0026,JOB-000244,2025-04-07,0.33,job,2025-04-07 18:00:00
TS-000270,TECH-0002,JOB-000245,2025-03-04,1.68,job,2025-03-04 18:00:00
TS-000271,TECH-0002,JOB-000246,2025-03-04,0.24,job,2025-03-04 18:00:00
TS-000272,TECH-0002,JOB-000246,2025-03-04,0.28,job,2025-03-04 18:01:00
TS-000273,TECH-0002,JOB-000247,2025-03-04,2.27,job,2025-03-04 18:00:00
TS-000274,TECH-0002,JOB-000247,2025-03-04,2.27,job,2025-03-04 18:45:00
TS-000275,TECH-0002,JOB-000248,2025-03-04,1.26,job,2025-03-04 18:00:00
TS-000276,TECH-0002,JOB-000248,2025-03-04,1.17,job,2025-03-04 18:01:00
TS-000277,TECH-0002,JOB-000249,2025-03-04,1.01,job,2025-03-04 18:00:00
TS-000278,TECH-0002,JOB-000249,2025-03-04,1.06,job,2025-03-04 18:01:00
TS-000279,TECH-0014,JOB-000250,2024-03-15,0.31,job,2024-03-15 18:00:00
TS-000280,TECH-0014,JOB-000250,2024-03-15,0.27,job,2024-03-15 18:01:00
TS-000281,TECH-0014,JOB-000251,2024-03-15,2.28,job,2024-03-15 18:00:00
TS-000282,TECH-0002,JOB-000252,2024-09-16,1.02,job,2024-09-16 18:00:00
TS-000283,TECH-0002,JOB-000252,2024-09-16,0.98,job,2024-09-16 18:01:00
TS-000284,TECH-0002,JOB-000253,2024-09-16,0.78,job,2024-09-16 18:00:00
TS-000285,TECH-0002,JOB-000254,2024-09-16,2.3,job,2024-09-16 18:00:00
TS-000286,TECH-0012,JOB-000256,2023-08-01,0.92,job,2023-08-01 18:00:00
TS-000287,TECH-0024,JOB-000257,2023-05-02,2.22,job,2023-05-02 18:00:00
TS-000288,TECH-0024,JOB-000258,2023-05-02,2.17,job,2023-05-02 18:00:00
TS-000289,TECH-0024,JOB-000259,2023-05-02,1.5,job,2023-05-02 18:00:00
TS-000290,TECH-0024,JOB-000259,2023-05-02,1.5,job,2023-05-02 18:45:00
TS-000291,TECH-0024,JOB-000260,2023-05-02,2.37,job,2023-05-02 18:00:00
TS-000292,TECH-0020,JOB-000261,2023-01-27,1.8,job,2023-01-27 18:00:00
TS-000293,TECH-0020,JOB-000263,2023-01-27,0.66,job,2023-01-27 18:00:00
TS-000294,TECH-0020,JOB-000263,2023-01-27,0.69,job,2023-01-27 18:01:00
TS-000295,TECH-0020,JOB-000264,2023-01-27,1.98,job,2023-01-27 18:00:00
TS-000296,TECH-0020,JOB-000265,2023-01-27,0.45,job,2023-01-27 18:00:00
TS-000297,TECH-0017,JOB-000266,2025-02-17,1.32,job,2025-02-17 18:00:00
TS-000298,TECH-0017,JOB-000267,2025-02-17,1.08,job,2025-02-17 18:00:00
TS-000299,TECH-0017,JOB-000268,2025-02-17,1.88,job,2025-02-17 18:00:00
TS-000300,TECH-0017,JOB-000269,2025-02-17,1.0,job,2025-02-17 18:00:00
TS-000301,TECH-0026,JOB-000270,2025-05-29,1.58,job,2025-05-29 18:00:00
TS-000302,TECH-0026,JOB-000271,2025-05-29,0.78,job,2025-05-29 18:00:00
