stop_id,route_id,job_id,technician_id,prev_stop_id,stop_type,arrival_ts,departure_ts,distance_from_prev_km
STOP-000031,RT-00007,,TECH-0029,,depot_start,2023-11-23 07:15:00,2023-11-23 07:15:00,
STOP-000032,RT-00007,JOB-000019,TECH-0029,STOP-000031,job_stop,2023-11-23 07:50:00,2023-11-23 08:27:00,22.1
STOP-000033,RT-00007,JOB-000020,TECH-0029,STOP-000032,job_stop,2023-11-23 08:38:00,2023-11-23 10:04:00,6.01
STOP-000034,RT-00007,JOB-000021,TECH-0029,STOP-000033,job_stop,2023-11-23 10:34:00,2023-11-23 13:04:00,20.24
STOP-000035,RT-00007,,TECH-0029,STOP-000034,depot_end,2023-11-23 13:30:00,2023-11-23 13:30:00,22.63
STOP-000036,RT-00008,,TECH-0020,,depot_start,2023-10-10 08:00:00,2023-10-10 08:00:00,
STOP-000037,RT-00008,JOB-000022,TECH-0020,STOP-000036,job_stop,2023-10-10 08:52:00,2023-10-10 10:32:00,45.15
STOP-000038,RT-00008,JOB-000023,TECH-0020,STOP-000037,job_stop,2023-10-10 11:02:00,2023-10-10 12:37:00,19.83
STOP-000039,RT-00008,JOB-000024,TECH-0020,STOP-000038,job_stop,2023-10-10 13:26:00,2023-10-10 15:29:00,35.65
STOP-000040,RT-00008,JOB-000025,TECH-0020,STOP-000039,job_stop,2023-10-10 16:08:00,2023-10-10 17:22:00,26.39
STOP-000041,RT-00008,,TECH-0020,STOP-000040,depot_end,2023-10-10 17:41:00,2023-10-10 17:41:00,13.42
STOP-000042,RT-00009,,TECH-0024,,depot_start,2025-06-06 07:15:00,2025-06-06 07:15:00,
STOP-000043,RT-00009,JOB-000026,TECH-0024,STOP-000042,job_stop,2025-06-06 08:08:00,2025-06-06 09:18:00,33.08
STOP-000044,RT-00009,JOB-000027,TECH-0024,STOP-000043,job_stop,2025-06-06 09:57:00,2025-06-06 11:06:00,25.97
STOP-000045,RT-00009,JOB-000028,TECH-0024,STOP-000044,job_stop,2025-06-06 11:22:00,2025-06-06 12:38:00,12.98
STOP-000046,RT-00009,JOB-000029,TECH-0024,STOP-000045,job_stop,2025-06-06 13:17:00,2025-06-06 15:35:00,21.58
STOP-000047,RT-00009,,TECH-0024,STOP-000046,depot_end,2025-06-06 16:04:00,2025-06-06 16:04:00,23.95
STOP-000048,RT-00010,,TECH-0019,,depot_start,2024-09-03 07:45:00,2024-09-03 07:45:00,
STOP-000049,RT-00010,JOB-000030,TECH-0019,STOP-000048,job_stop,2024-09-03 08:23:00,2024-09-03 09:46:00,22.94
STOP-000050,RT-00010,JOB-000031,TECH-0019,STOP-000049,job_stop,2024-09-03 10:41:00,2024-09-03 12:10:00,33.79
STOP-000051,RT-00010,JOB-000032,TECH-0019,STOP-000050,job_stop,2024-09-03 12:24:00,2024-09-03 14:08:00,9.32
STOP-000052,RT-00010,JOB-000033,TECH-0019,STOP-000051,job_stop,2024-09-03 14:54:00,2024-09-03 15:15:00,30.0
STOP-000053,RT-00010,JOB-000034,TECH-0019,STOP-000052,job_stop,2024-09-03 15:56:00,2024-09-03 18:07:00,24.1
STOP-000054,RT-00010,,TECH-0019,STOP-000053,depot_end,2024-09-03 18:46:00,2024-09-03 18:46:00,21.49
STOP-000055,RT-00011,,TECH-0023,,depot_start,2025-02-04 08:00:00,2025-02-04 08:00:00,
STOP-000056,RT-00011,JOB-000035,TECH-0023,STOP-000055,job_stop,2025-02-04 08:15:00,2025-02-04 09:09:00,11.36
STOP-000057,RT-00011,JOB-000036,TECH-0023,STOP-000056,job_stop,2025-02-04 09:36:00,2025-02-04 11:43:00,21.62
STOP-000058,RT-00011,,TECH-0023,STOP-000057,depot_end,2025-02-04 12:13:00,2025-02-04 12:13:00,15.82
STOP-000059,RT-00012,,TECH-0024,,depot_start,2023-02-28 07:15:00,2023-02-28 07:15:00,
STOP-000060,RT-00012,JOB-000037,TECH-0024,STOP-000059,job_stop,2023-02-28 07:26:00,2023-02-28 08:47:00,8.23
STOP-000061,RT-00012,JOB-000038,TECH-0024,STOP-000060,job_stop,2023-02-28 09:20:00,2023-02-28 10:09:00,18.71
STOP-000062,RT-00012,,TECH-0024,STOP-000061,depot_end,2023-02-28 10:37:00,2023-02-28 10:37:00,21.59
STOP-000063,RT-00013,,TECH-0014,,depot_start,2024-07-23 07:15:00,2024-07-23 07:15:00,
STOP-000064,RT-00013,JOB-000039,TECH-0014,STOP-000063,job_stop,2024-07-23 07:31:00,2024-07-23 09:08:00,12.46
STOP-000065,RT-00013,JOB-000040,TECH-0014,STOP-000064,job_stop,2024-07-23 09:40:00,2024-07-23 11:34:00,22.82
STOP-000066,RT-00013,JOB-000041,TECH-0014,STOP-000065,job_stop,2024-07-23 12:11:00,2024-07-23 14:28:00,32.72
STOP-000067,RT-00013,,TECH-0014,STOP-000066,depot_end,2024-07-23 14:52:00,2024-07-23 14:52:00,16.18
STOP-000068,RT-00014,,TECH-0027,,depot_start,2025-04-29 08:15:00,2025-04-29 08:15:00,
STOP-000069,RT-00014,JOB-000042,TECH-0027,STOP-000068,job_stop,2025-04-29 08:30:00,2025-04-29 10:45:00,9.17
STOP-000070,RT-00014,JOB-000043,TECH-0027,STOP-000069,job_stop,2025-04-29 11:06:00,2025-04-29 12:56:00,14.6
STOP-000071,RT-00014,JOB-000044,TECH-0027,STOP-000070,job_stop,2025-04-29 13:11:00,2025-04-29 15:15:00,8.95
STOP-000072,RT-00014,JOB-000045,TECH-0027,STOP-000071,job_stop,2025-04-29 15:30:00,2025-04-29 17:33:00,9.27
STOP-000073,RT-00014,,TECH-0027,STOP-000072,depot_end,2025-04-29 17:54:00,2025-04-29 17:54:00,16.4
STOP-000074,RT-00015,,TECH-0010,,depot_start,2024-03-14 07:00:00,2024-03-14 07:00:00,
STOP-000075,RT-00015,JOB-000046,TECH-0010,STOP-000074,job_stop,2024-03-14 07:22:00,2024-03-14 08:29:00,13.78
STOP-000076,RT-00015,JOB-000047,TECH-0010,STOP-000075,job_stop,2024-03-14 08:45:00,2024-03-14 10:20:00,13.33
STOP-000077,RT-00015,JOB-000048,TECH-0010,STOP-000076,job_stop,2024-03-14 11:05:00,2024-03-14 11:57:00,27.76
STOP-000078,RT-00015,JOB-000049,TECH-0010,STOP-000077,job_stop,2024-03-14 12:28:00,2024-03-14 13:01:00,17.79
STOP-000079,RT-00015,,TECH-0010,STOP-000078,depot_end,2024-03-14 13:15:00,2024-03-14 13:15:00,7.84
STOP-000080,RT-00016,,TECH-0021,,depot_start,2024-03-12 07:00:00,2024-03-12 07:00:00,
STOP-000081,RT-00016,JOB-000050,TECH-0021,STOP-000080,job_stop,2024-03-12 07:45:00,2024-03-12 09:02:00,36.26
STOP-000082,RT-00016,JOB-000051,TECH-0021,STOP-000081,job_stop,2024-03-12 09:31:00,2024-03-12 10:06:00,21.1
STOP-000083,RT-00016,,TECH-0021,STOP-000082,depot_end,2024-03-12 10:37:00,2024-03-12 10:37:00,16.51
STOP-000084,RT-00017,,TECH-0009,,depot_start,2023-09-06 07:00:00,2023-09-06 07:00:00,
STOP-000085,RT-00017,JOB-000052,TECH-0009,STOP-000084,job_stop,2023-09-06 07:36:00,2023-09-06 09:56:00,24.49
STOP-000086,RT-00017,JOB-000053,TECH-0009,STOP-000085,job_stop,2023-09-06 10:22:00,2023-09-06 11:32:00,21.19
STOP-000087,RT-00017,,TECH-0009,STOP-000086,depot_end,2023-09-06 11:47:00,2023-09-06 11:47:00,12.26
STOP-000088,RT-00018,,TECH-0023,,depot_start,2025-03-26 08:00:00,2025-03-26 08:00:00,
STOP-000089,RT-00018,JOB-000054,TECH-0023,STOP-000088,job_stop,2025-03-26 08:39:00,2025-03-26 10:42:00,30.24
STOP-000090,RT-00018,JOB-000055,TECH-0023,STOP-000089,job_stop,2025-03-26 11:30:00,2025-03-26 12:13:00,28.81
STOP-000091,RT-00018,JOB-000056,TECH-0023,STOP-000090,job_stop,2025-03-26 12:59:00,2025-03-26 14:03:00,23.74
STOP-000092,RT-00018,JOB-000057,TECH-0023,STOP-000091,job_stop,2025-03-26 14:18:00,2025-03-26 16:22:00,10.32
STOP-000093,RT-00018,,TECH-0023,STOP-000092,depot_end,2025-03-26 16:58:00,2025-03-26 16:58:00,28.95
STOP-000094,RT-00019,,TECH-0002,,depot_start,2024-10-14 08:30:00,2024-10-14 08:30:00,
STOP-000095,RT-00019,JOB-000058,TECH-0002,STOP-000094,job_stop,2024-10-14 09:00:00,2024-10-14 11:03:00,16.39
STOP-000096,RT-00019,JOB-000059,TECH-0002,STOP-000095,job_stop,2024-10-14 11:16:00,2024-10-14 13:08:00,7.48
STOP-000097,RT-00019,,TECH-0002,STOP-000096,depot_end,2024-10-14 13:47:00,2024-10-14 13:47:00,23.99
STOP-000098,RT-00020,,TECH-0026,,depot_start,2024-11-26 07:15:00,2024-11-26 07:15:00,
STOP-000099,RT-00020,JOB-000060,TECH-0026,STOP-000098,job_stop,2024-11-26 08:10:00,2024-11-26 08:33:00,30.98
STOP-000100,RT-00020,JOB-000061,TECH-0026,STOP-000099,job_stop,2024-11-26 09:14:00,2024-11-26 10:48:00,35.8
STOP-000101,RT-00020,,TECH-0026,STOP-000100,depot_end,2024-11-26 11:10:00,2024-11-26 11:10:00,12.68
STOP-000102,RT-00021,,TECH-0023,,depot_start,2024-12-30 07:30:00,2024-12-30 07:30:00,
STOP-000103,RT-00021,JOB-000062,TECH-0023,STOP-000102,job_stop,2024-12-30 08:06:00,2024-12-30 10:35:00,22.89
STOP-000104,RT-00021,JOB-000063,TECH-0023,STOP-000103,job_stop,2024-12-30 10:54:00,2024-12-30 13:17:00,12.89
STOP-000105,RT-00021,JOB-000064,TECH-0023,STOP-000104,job_stop,2024-12-30 14:03:00,2024-12-30 16:08:00,30.05
STOP-000106,RT-00021,,TECH-0023,STOP-000105,depot_end,2024-12-30 16:33:00,2024-12-30 16:33:00,22.15
STOP-000107,RT-00022,,TECH-0005,,depot_start,2024-12-20 07:45:00,2024-12-20 07:45:00,
STOP-000108,RT-00022,JOB-000065,TECH-0005,STOP-000107,job_stop,2024-12-20 08:01:00,2024-12-20 10:17:00,11.37
STOP-000109,RT-00022,JOB-000066,TECH-0005,STOP-000108,job_stop,2024-12-20 10:43:00,2024-12-20 12:44:00,16.52
STOP-000110,RT-00022,JOB-000067,TECH-0005,STOP-000109,job_stop,2024-12-20 13:34:00,2024-12-20 15:58:00,39.37
STOP-000111,RT-00022,JOB-000068,TECH-0005,STOP-000110,job_stop,2024-12-20 16:22:00,2024-12-20 18:33:00,19.17
STOP-000112,RT-00022,,TECH-0005,STOP-000111,depot_end,2024-12-20 19:11:00,2024-12-20 19:11:00,19.44
STOP-000113,RT-00023,,TECH-0012,,depot_start,2023-03-22 08:30:00,2023-03-22 08:30:00,
STOP-000114,RT-00023,JOB-000069,TECH-0012,STOP-000113,job_stop,2023-03-22 09:07:00,2023-03-22 11:12:00,20.65
STOP-000115,RT-00023,JOB-000070,TECH-0012,STOP-000114,job_stop,2023-03-22 11:53:00,2023-03-22 12:49:00,35.47
STOP-000116,RT-00023,JOB-000071,TECH-0012,STOP-000115,job_stop,2023-03-22 13:42:00,2023-03-22 14:20:00,38.09
STOP-000117,RT-00023,JOB-000072,TECH-0012,STOP-000116,job_stop,2023-03-22 14:49:00,2023-03-22 16:47:00,16.81
STOP-000118,RT-00023,,TECH-0012,STOP-000117,depot_end,2023-03-22 16:57:00,2023-03-22 16:57:00,8.91
STOP-000119,RT-00024,,TECH-0025,,depot_start,2024-07-22 07:00:00,2024-07-22 07:00:00,
STOP-000120,RT-00024,JOB-000073,TECH-0025,STOP-000119,job_stop,2024-07-22 07:48:00,2024-07-22 09:21:00,38.31
STOP-000121,RT-00024,JOB-000074,TECH-0025,STOP-000120,job_stop,2024-07-22 10:14:00,2024-07-22 11:09:00,42.52
STOP-000122,RT-00024,JOB-000075,TECH-0025,STOP-000121,job_stop,2024-07-22 11:56:00,2024-07-22 12:49:00,30.36
STOP-000123,RT-00024,JOB-000076,TECH-0025,STOP-000122,job_stop,2024-07-22 13:32:00,2024-07-22 15:01:00,30.13
STOP-000124,RT-00024,,TECH-0025,STOP-000123,depot_end,2024-07-22 15:34:00,2024-07-22 15:34:00,27.99
STOP-000125,RT-00025,,TECH-0029,,depot_start,2023-06-14 07:15:00,2023-06-14 07:15:00,
STOP-000126,RT-00025,JOB-000077,TECH-0029,STOP-000125,job_stop,2023-06-14 07:39:00,2023-06-14 09:40:00,20.26
STOP-000127,RT-00025,JOB-000078,TECH-0029,STOP-000126,job_stop,2023-06-14 10:24:00,2023-06-14 12:18:00,24.18
STOP-000128,RT-00025,JOB-000079,TECH-0029,STOP-000127,job_stop,2023-06-14 12:34:00,2023-06-14 14:54:00,12.32
STOP-000129,RT-00025,JOB-000080,TECH-0029,STOP-000128,job_stop,2023-06-14 15:44:00,2023-06-14 17:21:00,41.48
STOP-000130,RT-00025,JOB-000081,TECH-0029,STOP-000129,job_stop,2023-06-14 17:37:00,2023-06-14 18:31:00,9.5
STOP-000131,RT-00025,,TECH-0029,STOP-000130,depot_end,2023-06-14 18:59:00,2023-06-14 18:59:00,22.31
STOP-000132,RT-00026,,TECH-0005,,depot_start,2024-08-16 08:45:00,2024-08-16 08:45:00,
STOP-000133,RT-00026,JOB-000082,TECH-0005,STOP-000132,job_stop,2024-08-16 09:12:00,2024-08-16 11:06:00,13.85
STOP-000134,RT-00026,JOB-000083,TECH-0005,STOP-000133,job_stop,2024-08-16 11:50:00,2024-08-16 13:41:00,37.87
STOP-000135,RT-00026,,TECH-0005,STOP-000134,depot_end,2024-08-16 13:53:00,2024-08-16 13:53:00,9.18
STOP-000136,RT-00027,,TECH-0024,,depot_start,2025-05-06 07:30:00,2025-05-06 07:30:00,
STOP-000137,RT-00027,JOB-000084,TECH-0024,STOP-000136,job_stop,2025-05-06 07:55:00,2025-05-06 09:07:00,22.39
STOP-000138,RT-00027,JOB-000085,TECH-0024,STOP-000137,job_stop,2025-05-06 09:38:00,2025-05-06 09:58:00,25.1
STOP-000139,RT-00027,,TECH-0024,STOP-000138,depot_end,2025-05-06 10:11:00,2025-05-06 10:11:00,9.94
STOP-000140,RT-00028,,TECH-0001,,depot_start,2023-07-07 08:15:00,2023-07-07 08:15:00,
STOP-000141,RT-00028,JOB-000086,TECH-0001,STOP-000140,job_stop,2023-07-07 09:02:00,2023-07-07 10:06:00,29.59
STOP-000142,RT-00028,JOB-000087,TECH-0001,STOP-000141,job_stop,2023-07-07 10:48:00,2023-07-07 13:03:00,30.97
STOP-000143,RT-00028,,TECH-0001,STOP-000142,depot_end,2023-07-07 13:27:00,2023-07-07 13:27:00,18.18
STOP-000144,RT-00029,,TECH-0001,,depot_start,2023-03-29 08:45:00,2023-03-29 08:45:00,
STOP-000145,RT-00029,JOB-000088,TECH-0001,STOP-000144,job_stop,2023-03-29 09:38:00,2023-03-29 11:51:00,28.79
STOP-000146,RT-00029,JOB-000089,TECH-0001,STOP-000145,job_stop,2023-03-29 12:25:00,2023-03-29 14:00:00,30.53
STOP-000147,RT-00029,JOB-000090,TECH-0001,STOP-000146,job_stop,2023-03-29 14:37:00,2023-03-29 15:55:00,25.18
STOP-000148,RT-00029,JOB-000091,TECH-0001,STOP-000147,job_stop,2023-03-29 16:28:00,2023-03-29 18:49:00,29.09
STOP-000149,RT-00029,JOB-000092,TECH-0001,STOP-000148,job_stop,2023-03-29 19:34:00,2023-03-29 21:18:00,23.58
STOP-000150,RT-00029,,TECH-0001,STOP-000149,depot_end,2023-03-29 21:58:00,2023-03-29 21:58:00,24.6
STOP-000151,RT-00030,,TECH-0011,,depot_start,2024-05-20 07:15:00,2024-05-20 07:15:00,
STOP-000152,RT-00030,JOB-000093,TECH-0011,STOP-000151,job_stop,2024-05-20 08:07:00,2024-05-20 08:54:00,36.03
STOP-000153,RT-00030,JOB-000094,TECH-0011,STOP-000152,job_stop,2024-05-20 09:42:00,2024-05-20 11:10:00,41.84
STOP-000154,RT-00030,,TECH-0011,STOP-000153,depot_end,2024-05-20 11:38:00,2024-05-20 11:38:00,21.36
STOP-000155,RT-00031,,TECH-0003,,depot_start,2023-07-24 07:15:00,2023-07-24 07:15:00,
STOP-000156,RT-00031,JOB-000095,TECH-0003,STOP-000155,job_stop,2023-07-24 07:49:00,2023-07-24 09:36:00,22.71
STOP-000157,RT-00031,JOB-000096,TECH-0003,STOP-000156,job_stop,2023-07-24 09:55:00,2023-07-24 10:27:00,10.7
STOP-000158,RT-00031,,TECH-0003,STOP-000157,depot_end,2023-07-24 11:01:00,2023-07-24 11:01:00,23.97
STOP-000159,RT-00032,,TECH-0013,,depot_start,2024-09-09 08:45:00,2024-09-09 08:45:00,
STOP-000160,RT-00032,JOB-000097,TECH-0013,STOP-000159,job_stop,2024-09-09 09:28:00,2024-09-09 09:59:00,32.97
STOP-000161,RT-00032,JOB-000098,TECH-0013,STOP-000160,job_stop,2024-09-09 10:17:00,2024-09-09 11:51:00,14.5
STOP-000162,RT-00032,,TECH-0013,STOP-000161,depot_end,2024-09-09 12:17:00,2024-09-09 12:17:00,18.81
STOP-000163,RT-00033,,TECH-0025,,depot_start,2024-05-22 08:00:00,2024-05-22 08:00:00,
STOP-000164,RT-00033,JOB-000099,TECH-0025,STOP-000163,job_stop,2024-05-22 08:37:00,2024-05-22 09:16:00,18.78
STOP-000165,RT-00033,JOB-000100,TECH-0025,STOP-000164,job_stop,2024-05-22 09:33:00,2024-05-22 11:16:00,11.25
STOP-000166,RT-00033,,TECH-0025,STOP-000165,depot_end,2024-05-22 11:39:00,2024-05-22 11:39:00,19.27
STOP-000167,RT-00034,,TECH-0009,,depot_start,2024-09-17 07:45:00,2024-09-17 07:45:00,
STOP-000168,RT-00034,JOB-000101,TECH-0009,STOP-000167,job_stop,2024-09-17 08:14:00,2024-09-17 09:30:00,23.15
STOP-000169,RT-00034,JOB-000102,TECH-0009,STOP-000168,job_stop,2024-09-17 10:02:00,2024-09-17 10:59:00,25.31
STOP-000170,RT-00034,JOB-000103,TECH-0009,STOP-000169,job_stop,2024-09-17 11:20:00,2024-09-17 13:46:00,18.49
STOP-000171,RT-00034,JOB-000104,TECH-0009,STOP-000170,job_stop,2024-09-17 14:36:00,2024-09-17 16:48:00,31.32
STOP-000172,RT-00034,JOB-000105,TECH-0009,STOP-000171,job_stop,2024-09-17 17:17:00,2024-09-17 17:46:00,19.86
STOP-000173,RT-00034,,TECH-0009,STOP-000172,depot_end,2024-09-17 18:10:00,2024-09-17 18:10:00,17.57
STOP-000174,RT-00035,,TECH-0029,,depot_start,2023-03-01 07:30:00,2023-03-01 07:30:00,
STOP-000175,RT-00035,JOB-000106,TECH-0029,STOP-000174,job_stop,2023-03-01 08:18:00,2023-03-01 09:16:00,33.13
STOP-000176,RT-00035,JOB-000107,TECH-0029,STOP-000175,job_stop,2023-03-01 09:58:00,2023-03-01 10:28:00,31.85
STOP-000177,RT-00035,JOB-000108,TECH-0029,STOP-000176,job_stop,2023-03-01 11:01:00,2023-03-01 13:00:00,28.62
STOP-000178,RT-00035,JOB-000109,TECH-0029,STOP-000177,job_stop,2023-03-01 13:14:00,2023-03-01 15:12:00,8.85
STOP-000179,RT-00035,JOB-000110,TECH-0029,STOP-000178,job_stop,2023-03-01 15:43:00,2023-03-01 16:39:00,16.51
STOP-000180,RT-00035,,TECH-0029,STOP-000179,depot_end,2023-03-01 16:58:00,2023-03-01 16:58:00,13.75
STOP-000181,RT-00036,,TECH-0024,,depot_start,2024-04-16 07:45:00,2024-04-16 07:45:00,
STOP-000182,RT-00036,JOB-000111,TECH-0024,STOP-000181,job_stop,2024-04-16 08:27:00,2024-04-16 10:19:00,27.08
STOP-000183,RT-00036,JOB-000112,TECH-0024,STOP-000182,job_stop,2024-04-16 10:37:00,2024-04-16 12:12:00,10.12
STOP-000184,RT-00036,JOB-000113,TECH-0024,STOP-000183,job_stop,2024-04-16 13:04:00,2024-04-16 13:57:00,33.0
STOP-000185,RT-00036,,TECH-0024,STOP-000184,depot_end,2024-04-16 14:30:00,2024-04-16 14:30:00,22.28
STOP-000186,RT-00037,,TECH-0015,,depot_start,2024-06-06 08:30:00,2024-06-06 08:30:00,
STOP-000187,RT-00037,JOB-000114,TECH-0015,STOP-000186,job_stop,2024-06-06 09:08:00,2024-06-06 10:29:00,22.56
STOP-000188,RT-00037,JOB-000115,TECH-0015,STOP-000187,job_stop,2024-06-06 11:08:00,2024-06-06 13:05:00,31.5
STOP-000189,RT-00037,JOB-000116,TECH-0015,STOP-000188,job_stop,2024-06-06 13:18:00,2024-06-06 15:13:00,9.83
STOP-000190,RT-00037,,TECH-0015,STOP-000189,depot_end,2024-06-06 15:31:00,2024-06-06 15:31:00,12.24
STOP-000191,RT-00038,,TECH-0019,,depot_start,2023-07-31 07:15:00,2023-07-31 07:15:00,
STOP-000192,RT-00038,JOB-000117,TECH-0019,STOP-000191,job_stop,2023-07-31 07:53:00,2023-07-31 08:19:00,32.45
STOP-000193,RT-00038,JOB-000118,TECH-0019,STOP-000192,job_stop,2023-07-31 08:49:00,2023-07-31 10:34:00,26.17
STOP-000194,RT-00038,JOB-000119,TECH-0019,STOP-000193,job_stop,2023-07-31 11:12:00,2023-07-31 11:52:00,28.35
STOP-000195,RT-00038,JOB-000120,TECH-0019,STOP-000194,job_stop,2023-07-31 12:20:00,2023-07-31 13:11:00,16.66
STOP-000196,RT-00038,JOB-000121,TECH-0019,STOP-000195,job_stop,2023-07-31 13:59:00,2023-07-31 15:20:00,34.29
STOP-000197,RT-00038,,TECH-0019,STOP-000196,depot_end,2023-07-31 15:46:00,2023-07-31 15:46:00,23.14
STOP-000198,RT-00039,,TECH-0003,,depot_start,2025-01-23 08:45:00,2025-01-23 08:45:00,
STOP-000199,RT-00039,JOB-000122,TECH-0003,STOP-000198,job_stop,2025-01-23 08:57:00,2025-01-23 10:52:00,9.05
STOP-000200,RT-00039,JOB-000123,TECH-0003,STOP-000199,job_stop,2025-01-23 11:39:00,2025-01-23 13:24:00,37.32
STOP-000201,RT-00039,,TECH-0003,STOP-000200,depot_end,2025-01-23 13:56:00,2025-01-23 13:56:00,22.13
STOP-000202,RT-00040,,TECH-0006,,depot_start,2023-07-13 08:00:00,2023-07-13 08:00:00,
STOP-000203,RT-00040,JOB-000124,TECH-0006,STOP-000202,job_stop,2023-07-13 08:28:00,2023-07-13 09:39:00,16.26
STOP-000204,RT-00040,JOB-000125,TECH-0006,STOP-000203,job_stop,2023-07-13 10:05:00,2023-07-13 11:13:00,13.38
STOP-000205,RT-00040,,TECH-0006,STOP-000204,depot_end,2023-07-13 11:48:00,2023-07-13 11:48:00,22.65
STOP-000206,RT-00041,,TECH-0014,,depot_start,2024-09-23 08:15:00,2024-09-23 08:15:00,
STOP-000207,RT-00041,JOB-000126,TECH-0014,STOP-000206,job_stop,2024-09-23 08:56:00,2024-09-23 10:50:00,31.85
STOP-000208,RT-00041,JOB-000127,TECH-0014,STOP-000207,job_stop,2024-09-23 11:38:00,2024-09-23 12:44:00,43.11
STOP-000209,RT-00041,JOB-000128,TECH-0014,STOP-000208,job_stop,2024-09-23 13:32:00,2024-09-23 14:34:00,37.78
STOP-000210,RT-00041,JOB-000129,TECH-0014,STOP-000209,job_stop,2024-09-23 15:01:00,2024-09-23 15:35:00,20.41
STOP-000211,RT-00041,JOB-000130,TECH-0014,STOP-000210,job_stop,2024-09-23 15:46:00,2024-09-23 17:58:00,6.13
STOP-000212,RT-00041,,TECH-0014,STOP-000211,depot_end,2024-09-23 18:27:00,2024-09-23 18:27:00,16.28
STOP-000213,RT-00042,,TECH-0016,,depot_start,2024-06-14 08:00:00,2024-06-14 08:00:00,
STOP-000214,RT-00042,JOB-000131,TECH-0016,STOP-000213,job_stop,2024-06-14 08:46:00,2024-06-14 10:39:00,25.53
